x_m,y_m,w_tr_right_m,w_tr_left_m
20.56759208,88.31280851,1.1,1.1
20.93428858,88.44289602,1.1,1.1
21.3042052,88.56179439,1.1,1.1
21.67708019,88.66906698,1.1,1.1
22.05259633,88.76576712,1.1,1.1
22.43042893,88.85315118,1.1,1.1
22.81025329,88.93247559,1.1,1.1
23.19174466,89.00499671,1.1,1.1
23.57457835,89.07197098,1.1,1.1
23.95842966,89.13465476,1.1,1.1
24.34297383,89.19430448,1.1,1.1
24.7278861,89.2521765,1.1,1.1
25.11289583,89.30931981,1.1,1.1
25.49794843,89.36595414,1.1,1.1
25.88304334,89.42209172,1.1,1.1
26.26817987,89.47774491,1.1,1.1
26.65335748,89.53292585,1.1,1.1
27.03857553,89.58764682,1.1,1.1
27.42383357,89.6419202,1.1,1.1
27.80913088,89.6957582,1.1,1.1
28.19446702,89.74917311,1.1,1.1
28.57984119,89.80217722,1.1,1.1
28.96525302,89.85478274,1.1,1.1
29.35070179,89.90700205,1.1,1.1
29.73618697,89.95884726,1.1,1.1
30.12170793,90.01033085,1.1,1.1
30.50726413,90.061465,1.1,1.1
30.89285502,90.11226187,1.1,1.1
31.2784799,90.16273396,1.1,1.1
31.66413824,90.21289335,1.1,1.1
32.0498294,90.2627524,1.1,1.1
32.43555292,90.3123234,1.1,1.1
32.8213081,90.36161856,1.1,1.1
33.20709448,90.41065026,1.1,1.1
33.59291134,90.45943069,1.1,1.1
33.97875808,90.50797209,1.1,1.1
34.36463422,90.55628688,1.1,1.1
34.75053915,90.60438714,1.1,1.1
35.13647231,90.6522853,1.1,1.1
35.52243301,90.69999358,1.1,1.1
35.9084207,90.74752427,1.1,1.1
36.29443483,90.79488965,1.1,1.1
36.6804748,90.84210196,1.1,1.1
37.06654004,90.88917346,1.1,1.1
37.45262995,90.93611646,1.1,1.1
37.83874389,90.98294324,1.1,1.1
38.2248814,91.0296661,1.1,1.1
38.61104178,91.07629724,1.1,1.1
38.99722449,91.12284897,1.1,1.1
39.38342905,91.16932967,1.1,1.1
39.76965625,91.21571912,1.1,1.1
40.15590733,91.26198474,1.1,1.1
40.54218362,91.30809385,1.1,1.1
40.9284862,91.35401385,1.1,1.1
41.31481647,91.39971193,1.1,1.1
41.70117552,91.44515548,1.1,1.1
42.08756483,91.49031191,1.1,1.1
42.47398541,91.5351484,1.1,1.1
42.86043866,91.57963236,1.1,1.1
43.24692576,91.6237311,1.1,1.1
43.63344801,91.66741197,1.1,1.1
44.02000666,91.71064228,1.1,1.1
44.40660289,91.75338938,1.1,1.1
44.79323802,91.79562058,1.1,1.1
45.17991328,91.83730315,1.1,1.1
45.56662992,91.87840448,1.1,1.1
45.95338912,91.9188919,1.1,1.1
46.34019218,91.95873422,1.1,1.1
46.72703842,91.99795805,1.1,1.1
47.1139248,92.03666218,1.1,1.1
47.50084805,92.07495029,1.1,1.1
47.88780522,92.11292593,1.1,1.1
48.27479296,92.15069263,1.1,1.1
48.66180815,92.18835416,1.1,1.1
49.04884762,92.2260139,1.1,1.1
49.43590817,92.26377554,1.1,1.1
49.82298668,92.3017427,1.1,1.1
50.21007998,92.34001883,1.1,1.1
50.59718494,92.37870771,1.1,1.1
50.98429823,92.41791279,1.1,1.1
51.37141681,92.45773769,1.1,1.1
51.75853756,92.49828595,1.1,1.1
52.14565715,92.53966124,1.1,1.1
52.53277254,92.58196713,1.1,1.1
52.91988046,92.6253072,1.1,1.1
53.30697788,92.66978509,1.1,1.1
53.69403251,92.71435834,1.1,1.1
54.08090186,92.75360403,1.1,1.1
54.46741672,92.78105211,1.1,1.1
54.85340806,92.79023284,1.1,1.1
55.23870624,92.77469696,1.1,1.1
55.6230631,92.73158169,1.1,1.1
56.00606294,92.66566067,1.1,1.1
56.38726844,92.58268682,1.1,1.1
56.76624242,92.48841274,1.1,1.1
57.14257767,92.38792329,1.1,1.1
57.51607551,92.281652,1.1,1.1
57.88662618,92.1680549,1.1,1.1
58.25412001,92.04558061,1.1,1.1
58.61844739,91.91267786,1.1,1.1
58.9793061,91.76802129,1.1,1.1
59.33566881,91.61113546,1.1,1.1
59.68633772,91.44174477,1.1,1.1
60.03011521,91.25957354,1.1,1.1
60.36583764,91.06434647,1.1,1.1
60.6928071,90.85579605,1.1,1.1
61.01066303,90.63366005,1.1,1.1
61.3190522,90.39767618,1.1,1.1
61.61762152,90.14758251,1.1,1.1
61.90468098,89.88248402,1.1,1.1
62.16940336,89.59716166,1.1,1.1
62.39756593,89.28485655,1.1,1.1
62.58919031,88.9478051,1.1,1.1
62.76135509,88.5989818,1.1,1.1
62.92457989,88.24618988,1.1,1.1
63.08021698,87.89020251,1.1,1.1
63.22907186,87.53137313,1.1,1.1
63.37195003,87.17005562,1.1,1.1
63.50965707,86.80660352,1.1,1.1
63.64299847,86.44137053,1.1,1.1
63.77277974,86.0747102,1.1,1.1
63.89980644,85.7069764,1.1,1.1
64.02488228,85.33852189,1.1,1.1
64.14855444,84.96959147,1.1,1.1
64.27084313,84.60020762,1.1,1.1
64.39170402,84.23036567,1.1,1.1
64.51109284,83.86006112,1.1,1.1
64.62896526,83.48928913,1.1,1.1
64.745277,83.11804521,1.1,1.1
64.85998367,82.74632452,1.1,1.1
64.97304099,82.37412255,1.1,1.1
65.08440462,82.00143449,1.1,1.1
65.1940303,81.62825581,1.1,1.1
65.30187363,81.25458178,1.1,1.1
65.40789032,80.8804078,1.1,1.1
65.51203613,80.50572914,1.1,1.1
65.61426664,80.13054119,1.1,1.1
65.71453758,79.75483929,1.1,1.1
65.81280461,79.3786187,1.1,1.1
65.9090234,79.00187483,1.1,1.1
66.00314961,78.62460301,1.1,1.1
66.09514278,78.24680005,1.1,1.1
66.18498737,77.86847218,1.1,1.1
66.27267791,77.48962981,1.1,1.1
66.35820913,77.11028299,1.1,1.1
66.44157573,76.73044221,1.1,1.1
66.52277235,76.35011751,1.1,1.1
66.6017937,75.96931916,1.1,1.1
66.67863441,75.58805758,1.1,1.1
66.75328926,75.2063428,1.1,1.1
66.82575236,74.82418548,1.1,1.1
66.89601326,74.44159924,1.1,1.1
66.96405805,74.05860018,1.1,1.1
67.02987258,73.6752044,1.1,1.1
67.09344283,73.29142776,1.1,1.1
67.15475489,72.90728645,1.1,1.1
67.21379451,72.52279658,1.1,1.1
67.27054779,72.13797408,1.1,1.1
67.32500063,71.75283506,1.1,1.1
67.37714082,71.36739554,1.1,1.1
67.42701045,70.98167241,1.1,1.1
67.47471577,70.59568309,1.1,1.1
67.52036694,70.20944523,1.1,1.1
67.56407371,69.8229765,1.1,1.1
67.60594607,69.43629447,1.1,1.1
67.64609411,69.04941672,1.1,1.1
67.68462772,68.66236092,1.1,1.1
67.72165683,68.27514456,1.1,1.1
67.75729143,67.88778539,1.1,1.1
67.79164151,67.50030097,1.1,1.1
67.82481698,67.11270882,1.1,1.1
67.85692785,66.72502667,1.1,1.1
67.88808402,66.33727209,1.1,1.1
67.91839556,65.94946268,1.1,1.1
67.94797231,65.56161608,1.1,1.1
67.97692435,65.1737498,1.1,1.1
68.00536151,64.7858815,1.1,1.1
